Date,High,open_lag_1,low_lag_2,low_lag_1,high_lag_1,Low,Close_1
2014-04-09,16438.82,16245.87,16244.39,16180.68,16296.86,16256.14,16170.22
2014-04-10,16455.29,16256.14,16180.68,16256.14,16438.82,16153.59,16052.12
2014-04-11,16170.22,16437.18,16256.14,16153.59,16455.29,16015.32,16173.24
2014-04-14,16184.76,16170.22,16153.59,16015.32,16170.22,16030.67,16262.56
2014-04-15,16272.26,16052.12,16015.32,16030.67,16184.76,16064.55,16424.85
2014-04-16,16424.85,16173.24,16030.67,16064.55,16272.26,16262.56,16408.54
2014-04-17,16460.49,16262.56,16064.55,16262.56,16424.85,16368.14,16449.25
2014-04-21,16459.46,16424.14,16262.56,16368.14,16460.49,16402.92,16514.37
2014-04-22,16565.71,16408.54,16368.14,16402.92,16459.46,16445.59,16501.65
2014-04-23,16525.67,16449.25,16402.92,16445.59,16565.71,16477.35,16501.65
2014-04-24,16541.26,16514.37,16445.59,16477.35,16525.67,16452.3,16371.9
2014-04-25,16501.65,16501.65,16477.35,16452.3,16541.26,16333.82,16448.74
2014-04-28,16500.36,16501.65,16452.3,16333.82,16501.65,16312.66,16535.37
2014-04-29,16559.39,16371.9,16333.82,16312.66,16500.36,16448.74,16580.84
2014-04-30,16592.18,16448.74,16312.66,16448.74,16559.39,16511.38,16558.87
2014-05-01,16604.73,16535.37,16448.74,16511.38,16592.18,16525.58,16509.1
2014-05-02,16619.93,16580.84,16511.38,16525.58,16604.73,16488.31,16530.55
2014-05-05,16547.86,16558.87,16525.58,16488.31,16619.93,16377.09,16401.02
2014-05-06,16530.55,16509.1,16488.31,16377.09,16547.86,16399.99,16518.54
2014-05-07,16522.94,16530.55,16377.09,16399.99,16530.55,16357.35,16550.97
2014-05-08,16622.95,16401.02,16399.99,16357.35,16522.94,16502.01,16586.01
2014-05-09,16588.52,16518.54,16357.35,16502.01,16622.95,16498.77,16695.47
2014-05-12,16704.84,16550.97,16502.01,16498.77,16588.52,16582.63,16715.44
2014-05-13,16735.35,16586.01,16498.77,16582.63,16704.84,16693.35,16613.97
2014-05-14,16717.56,16695.47,16582.63,16693.35,16735.35,16595.03,16446.81
2014-05-15,16623.03,16715.44,16693.35,16595.03,16717.56,16397.71,16484.09
2014-05-16,16498.99,16613.97,16595.03,16397.71,16623.03,16414.32,16511.86
2014-05-19,16526.26,16446.81,16397.71,16414.32,16498.99,16442.25,16374.31
2014-05-20,16511.86,16484.09,16414.32,16442.25,16526.26,16341.43,16533.06
2014-05-21,16544.37,16511.86,16442.25,16341.43,16511.86,16374.31,16543.08
2014-05-22,16565.39,16374.31,16341.43,16374.31,16544.37,16489.68,16606.27
2014-05-23,16613.07,16533.06,16374.31,16489.68,16565.39,16544.49,16675.5
2014-05-27,16688.63,16544.49,16489.68,16544.49,16613.07,16606.27,16633.18
2014-05-28,16675.5,16606.27,16544.49,16606.27,16688.63,16620.41,16698.74
2014-05-29,16698.74,16675.5,16606.27,16620.41,16675.5,16620.56,16705.45
2014-05-30,16705.45,16633.18,16620.41,16620.56,16698.74,16648.85,16743.63
2014-06-02,16756.64,16698.74,16620.56,16648.85,16705.45,16682.64,16722.34
2014-06-03,16743.63,16705.45,16648.85,16682.64,16756.64,16690.27,16737.53
2014-06-04,16742.91,16743.63,16682.64,16690.27,16743.63,16674.23,16836.11
2014-06-05,16845.81,16722.34,16690.27,16674.23,16742.91,16709.95,16908.13
2014-06-06,16922.42,16737.53,16674.23,16709.95,16845.81,16835.21,16943.1
2014-06-09,16970.14,16836.11,16709.95,16835.21,16922.42,16908.13,16945.92
2014-06-10,16946.34,16908.13,16835.21,16908.13,16970.14,16897.44,16843.88
2014-06-11,16945.92,16943.1,16908.13,16897.44,16946.34,16821.85,16734.19
2014-06-12,16843.88,16945.92,16897.44,16821.85,16945.92,16703.95,16738.72
2014-06-13,16787.67,16843.88,16821.85,16703.95,16843.88,16718.74,16781.01
2014-06-16,16802.08,16734.19,16703.95,16718.74,16787.67,16722.89,16808.49
2014-06-17,16823.43,16738.72,16718.74,16722.89,16802.08,16733.23,16906.62
2014-06-18,16910.35,16781.01,16722.89,16733.23,16823.43,16755.49,16921.46
2014-06-19,16923.11,16808.49,16733.23,16755.49,16910.35,16858.91,16947.08
2014-06-20,16977.85,16906.62,16755.49,16858.91,16923.11,16914.84,16937.26
2014-06-23,16954.02,16921.46,16858.91,16914.84,16977.85,16896.51,16818.13
2014-06-24,16969.36,16947.08,16914.84,16896.51,16954.02,16805.45,16867.51
2014-06-25,16883.54,16937.26,16896.51,16805.45,16969.36,16799.63,16846.13
2014-06-26,16872.49,16818.13,16805.45,16799.63,16883.54,16746.47,16843.21
2014-06-27,16852.36,16867.51,16799.63,16746.47,16872.49,16773.84,16826.6
2014-06-30,16870.95,16846.13,16746.47,16773.84,16852.36,16802.11,16956.07
2014-07-01,16998.69,16843.21,16773.84,16802.11,16870.95,16822.88,16976.24
2014-07-02,16986.5,16826.6,16802.11,16822.88,16998.69,16950.19,17068.26
2014-07-03,17074.65,16956.07,16822.88,16950.19,16986.5,16975.14,17024.21
2014-07-07,17068.26,16976.24,16950.19,16975.14,17074.65,16992.55,16906.62
2014-07-08,17024.21,17068.26,16975.14,16992.55,17068.26,16875.48,16985.61
2014-07-09,16998.63,17024.21,16992.55,16875.48,17024.21,16906.62,16915.07
2014-07-10,16985.61,16906.62,16875.48,16906.62,16998.63,16806.18,16943.31
2014-07-11,16949.17,16985.61,16906.62,16806.18,16985.61,16860.3,17055.42
2014-07-14,17088.31,16915.07,16806.18,16860.3,16949.17,16936.48,17060.68
2014-07-15,17120.34,16943.31,16860.3,16936.48,17088.31,17006.52,17138.2
2014-07-16,17139.32,17055.42,16936.48,17006.52,17120.34,17060.68,16976.81
2014-07-17,17151.36,17060.68,17006.52,17060.68,17139.32,16966.38,17089.17
2014-07-18,17113.47,17138.2,17060.68,16966.38,17151.36,16976.04,17051.73
2014-07-21,17092.35,16976.81,16966.38,16976.04,17113.47,16975.24,17113.54
2014-07-22,17133.43,17089.17,16976.04,16975.24,17092.35,17040.13,17086.63
2014-07-23,17120.34,17051.73,16975.24,17040.13,17133.43,17058.05,17083.8
2014-07-24,17119.8,17113.54,17040.13,17058.05,17120.34,17061.3,16947.31
2014-07-25,17083.8,17086.63,17058.05,17061.3,17119.8,16915.77,16982.59
2014-07-28,17001.22,17083.8,17061.3,16915.77,17083.8,16877.72,16912.11
2014-07-29,17056.46,16947.31,16915.77,16877.72,17001.22,16912.11,16880.36
2014-07-30,16983.94,16982.59,16877.72,16912.11,17056.46,16817.76,16563.3
2014-07-31,16880.36,16912.11,16912.11,16817.76,16983.94,16563.3,16511.58
2014-08-01,16584.56,16880.36,16817.76,16563.3,16880.36,16437.07,16569.28
2014-08-04,16595.83,16563.3,16563.3,16437.07,16584.56,16447.2,16429.47
2014-08-05,16569.28,16511.58,16437.07,16447.2,16595.83,16369.55,16443.34
2014-08-06,16490.64,16569.28,16447.2,16369.55,16569.28,16372.32,16368.27
2014-08-07,16504.22,16429.47,16369.55,16372.32,16490.64,16334.67,16553.93
2014-08-08,16556.53,16443.34,16372.32,16334.67,16504.22,16364.22,16569.98
2014-08-11,16627.86,16368.27,16334.67,16364.22,16556.53,16550.33,16560.54
2014-08-12,16588.99,16553.93,16364.22,16550.33,16627.86,16518.16,16651.8
2014-08-13,16670.1,16569.98,16550.33,16518.16,16588.99,16559.71,16713.58
2014-08-14,16714.22,16560.54,16518.16,16559.71,16670.1,16646.6,16662.91
2014-08-15,16775.05,16651.8,16559.71,16646.6,16714.22,16575.52,16838.74
2014-08-18,16840.16,16713.58,16646.6,16575.52,16775.05,16662.91,16919.59
2014-08-19,16929.07,16662.91,16575.52,16662.91,16840.16,16838.74,16979.13
2014-08-20,16994.83,16838.74,16662.91,16838.74,16929.07,16898.31,17039.49
2014-08-21,17074.43,16919.59,16838.74,16898.31,16994.83,16976.94,17001.22
2014-08-22,17063.96,16979.13,16898.31,16976.94,17074.43,16984.52,17076.87
2014-08-25,17124.74,17039.49,16976.94,16984.52,17063.96,17001.22,17106.7
2014-08-26,17153.8,17001.22,16984.52,17001.22,17124.74,17076.87,17122.01
2014-08-27,17134.09,17076.87,17001.22,17076.87,17153.8,17090.61,17079.57
2014-08-28,17122.01,17106.7,17076.87,17090.61,17134.09,17018.33,17098.45
2014-08-29,17109.91,17122.01,17090.61,17018.33,17122.01,17035.45,17067.56
2014-09-02,17113.51,17079.57,17018.33,17035.45,17109.91,17009.36,17078.28
2014-09-03,17151.66,17098.45,17035.45,17009.36,17113.51,17060.31,17069.58
2014-09-04,17161.43,17067.56,17009.36,17060.31,17151.66,17030.12,17124.71
2014-09-05,17128.91,17078.28,17060.31,17030.12,17161.43,17009.62,17111.42
2014-09-08,17137.75,17069.58,17030.12,17009.62,17128.91,17079.27,17013.87
2014-09-09,17111.42,17124.71,17009.62,17079.27,17137.75,16993.29,17068.71
2014-09-10,17080.14,17111.42,17079.27,16993.29,17111.42,16974.76,17049.0
2014-09-11,17068.71,17013.87,16993.29,16974.76,17080.14,16984.01,16987.51
2014-09-12,17044.05,17068.71,16974.76,16984.01,17068.71,16937.67,17031.14
2014-09-15,17051.85,17044.05,16984.01,16937.67,17044.05,16951.58,17131.97
2014-09-16,17167.05,16973.19,16937.67,16951.58,17051.85,16985.55,17156.85
2014-09-17,17221.11,17027.16,16951.58,16985.55,17167.05,17089.01,17265.99
2014-09-18,17275.37,17131.01,16985.55,17089.01,17221.11,17163.73,17279.74
2014-09-19,17350.64,17163.73,17089.01,17163.73,17275.37,17257.46,17172.68
2014-09-22,17277.88,17267.21,17163.73,17257.46,17350.64,17159.36,17055.87
2014-09-23,17171.88,17271.71,17257.46,17159.36,17277.88,17055.87,17210.06
2014-09-24,17226.6,17165.91,17159.36,17055.87,17171.88,17033.93,16945.8
2014-09-25,17204.86,17056.64,17055.87,17033.93,17226.6,16945.8,17113.15
2014-09-26,17148.15,17204.86,17033.93,16945.8,17204.86,16948.11,17071.22
2014-09-29,17107.69,16948.62,16945.8,16948.11,17148.15,16934.43,17042.9
2014-09-30,17145.1,17107.69,16948.11,16934.43,17107.69,17017.11,16804.71
2014-10-01,17041.16,17070.45,16934.43,17017.11,17145.1,16776.13,16801.05
2014-10-02,16857.25,17040.46,17017.11,16776.13,17041.16,16674.04,17009.69
2014-10-03,17027.84,16808.27,16776.13,16674.04,16857.25,16802.2,16991.91
